MSA ExposureSegregation #Exposures MeanSES NeighborhoodSortingIndex Gini Pop.Size BridgingIndex
Dover,DE 0.26 462,113.00 1,471.35 0.34 0.13 176,445.00 0.93
Dubuque,IA 0.36 201,954.00 1,313.10 0.57 0.18 97,009.00 0.86
Duluth,MN-WI 0.44 458,229.00 1,373.15 0.67 0.21 278,659.00 0.74
Durham-ChapelHill,NC 0.44 2,019,082.00 1,713.50 0.57 0.19 566,491.00 0.83
EastStroudsburg,PA 0.24 452,426.00 1,526.37 0.39 0.12 168,089.00 0.95
EauClaire,WI 0.18 377,072.00 1,114.77 0.41 0.11 167,436.00 0.95
ElCentro,CA 0.18 271,797.00 1,340.14 0.69 0.12 181,574.00 0.96
ElPaso,TX 0.32 1,667,796.00 1,157.84 0.60 0.17 845,145.00 0.76
Elizabethtown-ParkFortKnox,KY 0.19 245,608.00 1,241.61 0.24 0.22 150,531.00 0.91
Elkhart-Goshen,IN 0.37 567,181.00 1,186.01 0.41 0.17 204,310.00 0.89
Elmira,NY 0.36 121,786.00 1,173.73 0.58 0.20 84,874.00 0.78
Enid,OK 0.38 320,003.00 1,102.25 0.59 0.24 61,492.00 0.89
Erie,PA 0.34 571,583.00 1,129.58 0.61 0.21 273,892.00 0.85
Eugene,OR 0.29 514,167.00 1,600.88 0.49 0.15 375,617.00 0.93
Evansville,IN-KY 0.47 751,625.00 1,240.07 0.60 0.26 314,960.00 0.80
Fairbanks,AK 0.16 60,754.00 1,619.53 0.36 0.12 99,725.00 0.99
Fargo,ND-MN 0.30 816,028.00 1,333.79 0.52 0.12 241,619.00 0.92
Farmington,NM 0.28 67,876.00 1,265.57 0.52 0.17 126,902.00 0.98
Fayetteville,NC 0.27 1,253,869.00 1,082.27 0.48 0.19 385,380.00 0.90
Fayetteville-Springdale-Rogers,AR-MO 0.43 1,854,285.00 1,371.30 0.60 0.18 538,412.00 0.91
Flagstaff,AZ 0.31 184,120.00 2,012.92 0.42 0.15 141,107.00 0.96
Flint,MI 0.50 981,799.00 1,063.23 0.72 0.22 407,673.00 0.58
Florence,SC 0.37 312,804.00 1,335.06 0.49 0.21 205,546.00 0.93
Florence-MuscleShoals,AL 0.22 331,068.00 912.14 0.50 0.14 147,100.00 0.97
FondduLac,WI 0.19 220,305.00 873.95 0.47 0.09 102,371.00 0.92
FortCollins,CO 0.28 926,669.00 1,916.57 0.43 0.13 343,993.00 0.91
FortSmith,AR-OK 0.32 638,594.00 887.85 0.60 0.16 281,990.00 0.93
FortWayne,IN 0.50 1,475,260.00 1,342.98 0.69 0.25 434,001.00 0.66
Fresno,CA 0.35 2,137,796.00 1,471.73 0.69 0.18 986,542.00 0.73
Gadsden,AL 0.30 465,122.00 894.00 0.59 0.19 102,937.00 0.89
Gainesville,FL 0.35 1,165,180.00 1,593.03 0.56 0.22 284,685.00 0.82
Gainesville,GA 0.34 758,361.00 1,756.64 0.32 0.22 199,439.00 0.85
Gettysburg,PA 0.22 205,160.00 1,410.01 0.34 0.10 102,367.00 0.99
GlensFalls,NY 0.27 131,519.00 1,486.70 0.59 0.21 125,917.00 0.84
Goldsboro,NC 0.27 275,443.00 1,088.76 0.28 0.18 123,257.00 0.87
GrandForks,ND-MN 0.33 184,078.00 1,228.24 0.57 0.21 102,277.00 0.98
GrandIsland,NE 0.25 236,404.00 1,138.90 0.40 0.14 84,862.00 1.00
GrandJunction,CO 0.32 248,844.00 1,410.36 0.59 0.16 151,406.00 0.88
GrandRapids-Wyoming,MI 0.40 2,808,054.00 1,540.98 0.65 0.16 1,060,326.00 0.71
GrantsPass,OR 0.19 84,482.00 1,601.76 0.38 0.14 86,653.00 1.00
GreatFalls,MT 0.27 156,642.00 1,210.84 0.51 0.13 81,604.00 1.00
Greeley,CO 0.44 749,425.00 1,912.90 0.57 0.14 305,274.00 0.79
GreenBay,WI 0.44 1,141,954.00 1,416.76 0.71 0.21 319,786.00 0.86
Greensboro-HighPoint,NC 0.48 2,269,305.00 1,226.69 0.67 0.26 763,486.00 0.69
Greenville,NC 0.36 702,454.00 1,259.95 0.34 0.22 178,617.00 0.94
Greenville-Anderson-Mauldin,SC 0.46 2,888,574.00 1,383.12 0.56 0.21 895,422.00 0.82
Gulfport-Biloxi-Pascagoula,MS 0.35 1,349,098.00 1,223.72 0.49 0.18 394,322.00 0.92
Hagerstown-Martinsburg,MD-WV 0.32 599,583.00 1,349.39 0.54 0.16 265,295.00 0.96
Hammond,LA 0.31 354,092.00 1,182.56 0.38 0.14 132,322.00 0.94
Hanford-Corcoran,CA 0.22 253,730.00 1,343.94 0.62 0.15 149,696.00 0.96
Harrisburg-Carlisle,PA 0.39 1,555,132.00 1,467.19 0.54 0.19 571,101.00 0.78
Harrisonburg,VA 0.26 290,643.00 1,278.25 0.42 0.16 134,220.00 0.95
Hartford-WestHartford-EastHartford,CT 0.43 2,241,050.00 1,710.35 0.66 0.18 1,206,719.00 0.77
Hattiesburg,MS 0.37 311,274.00 1,156.01 0.70 0.16 148,719.00 0.83
Hickory-Lenoir-Morganton,NC 0.41 640,647.00 1,244.75 0.47 0.18 367,004.00 0.91
HiltonHeadIsland-Bluffton-Beaufort,SC 0.39 732,993.00 2,115.09 0.53 0.21 214,890.00 0.82
Hinesville,GA 0.20 138,926.00 1,134.33 0.29 0.13 80,518.00 0.97
HomosassaSprings,FL 0.30 528,334.00 1,417.05 0.46 0.21 145,512.00 0.94
Hotsprings,AR 0.34 274,972.00 1,162.56 0.39 0.23 98,444.00 0.89
Houma-Thibodaux,LA 0.29 511,209.00 1,159.51 0.65 0.12 209,893.00 0.83
Houston-TheWoodlands-SugarLand,TX 0.47 63,151,024.00 1,866.72 0.72 0.22 6,905,695.00 0.66
Huntington-Ashland,WV-KY-OH 0.34 860,612.00 1,069.95 0.49 0.18 355,582.00 0.87
Huntsville,AL 0.45 1,623,341.00 1,313.85 0.66 0.20 455,741.00 0.81
IdahoFalls,ID 0.25 212,821.00 1,219.23 0.54 0.14 145,792.00 0.95
Indianapolis-Carmel-Anderson,IN 0.52 10,182,520.00 1,466.08 0.68 0.24 2,026,723.00 0.64
IowaCity,IA 0.36 473,387.00 1,499.89 0.44 0.20 171,470.00 0.97
Ithaca,NY 0.23 130,902.00 1,607.18 0.45 0.14 102,678.00 0.95
Jackson,MI 0.40 294,167.00 1,049.19 0.67 0.15 158,690.00 0.96
Jackson,MS 0.58 1,725,331.00 1,409.20 0.72 0.24 581,552.00 0.68
Jackson,TN 0.40 324,665.00 1,075.77 0.74 0.16 129,186.00 0.82
Jacksonville,FL 0.49 10,861,594.00 1,742.93 0.61 0.24 1,504,841.00 0.64
Jacksonville,NC 0.30 544,185.00 1,162.30 0.45 0.17 194,838.00 0.90
Janesville-Beloit,WI 0.25 328,187.00 1,002.54 0.65 0.10 162,320.00 0.76
JeffersonCity,MO 0.24 349,139.00 1,010.56 0.45 0.16 151,298.00 0.96
JohnsonCity,TN 0.33 357,946.00 1,075.54 0.55 0.17 201,844.00 0.84
Johnstown,PA 0.20 232,779.00 741.42 0.62 0.11 133,054.00 0.98
Jonesboro,AR 0.36 308,755.00 1,106.28 0.64 0.17 131,158.00 0.94
Joplin,MO 0.21 356,202.00 864.53 0.41 0.12 178,330.00 0.97
Kahului-Wailuku-Lahaina,HI 0.22 246,346.00 3,043.60 0.37 0.16 166,491.00 0.97
Kalamazoo-Portage,MI 0.37 910,106.00 1,412.34 0.58 0.14 338,347.00 0.88
Kankakee,IL 0.30 374,176.00 1,249.33 0.70 0.10 110,544.00 0.81
KansasCity,MO-KS 0.54 8,835,941.00 1,541.78 0.75 0.25 2,127,259.00 0.64
Kennewick-Richland,WA 0.37 373,182.00 1,575.53 0.61 0.15 290,570.00 0.88
Killeen-Temple,TX 0.37 1,587,760.00 1,116.71 0.58 0.16 443,653.00 0.87
Kingsport-Bristol-Bristol,TN-VA 0.29 373,431.00 1,097.78 0.46 0.17 306,253.00 0.93
Kingston,NY 0.31 290,633.00 1,750.29 0.47 0.13 178,723.00 0.94
Knoxville,TN 0.43 2,704,521.00 1,467.11 0.60 0.23 875,797.00 0.76
Kokomo,IN 0.31 288,583.00 944.72 0.55 0.16 82,311.00 0.88
LaCrosse-Onalaska,WI-MN 0.17 200,045.00 1,144.24 0.54 0.09 136,778.00 0.97
Lafayette,LA 0.39 1,650,845.00 1,126.34 0.67 0.16 490,107.00 0.76
Lafayette-WestLafayette,IN 0.33 768,405.00 1,226.26 0.57 0.16 220,337.00 0.88
LakeCharles,LA 0.27 207,541.00 1,286.99 0.62 0.13 209,256.00 0.88
LakeHavasuCity-Kingman,AZ 0.30 321,719.00 1,255.77 0.59 0.18 207,114.00 0.83
Lakeland-WinterHaven,FL 0.31 4,246,971.00 1,435.22 0.43 0.18 685,830.00 0.90
Lancaster,PA 0.28 1,111,168.00 1,304.06 0.54 0.11 541,054.00 0.86
Lansing-EastLansing,MI 0.42 1,146,004.00 1,249.29 0.65 0.19 480,353.00 0.80
Laredo,TX 0.55 682,291.00 1,308.82 0.76 0.18 273,982.00 0.72
LasCruces,NM 0.27 340,688.00 1,194.16 0.44 0.18 216,186.00 0.97
LasVegas-Henderson-Paradise,NV 0.27 10,258,483.00 1,703.98 0.51 0.20 2,183,310.00 0.82
Lawrence,KS 0.19 423,826.00 1,417.50 0.47 0.20 120,629.00 0.94
Lawton,OK 0.30 337,308.00 933.32 0.58 0.21 127,589.00 0.88
Lebanon,PA 0.43 276,347.00 1,155.40 0.70 0.13 139,566.00 0.88
Lewiston,ID-WA 0.20 43,087.00 1,309.23 0.23 0.13 62,881.00 0.99
Lewiston-Auburn,ME 0.21 110,078.00 1,111.21 0.53 0.07 107,569.00 0.98
Lexington-Fayette,KY 0.42 2,391,314.00 1,321.56 0.62 0.21 512,732.00 0.85
Lima,OH 0.35 228,949.00 983.20 0.60 0.16 103,069.00 0.95
Lincoln,NE 0.35 1,808,658.00 1,395.51 0.57 0.16 331,179.00 0.87
LittleRock-NorthLittleRock-Conway,AR 0.51 3,070,717.00 1,192.95 0.72 0.20 737,991.00 0.77
Logan,UT-ID 0.20 154,902.00 1,210.21 0.60 0.10 138,052.00 0.92
Longview,TX 0.35 262,120.00 1,243.45 0.61 0.18 218,594.00 0.86
Longview,WA 0.38 173,605.00 1,459.50 0.52 0.18 106,900.00 1.00
LosAngeles-LongBeach-Anaheim,CA 0.44 110,526,499.00 2,970.24 0.75 0.20 13,298,709.00 0.66
Louisville/Jeffersoncounty,KY-IN 0.51 4,567,106.00 1,436.51 0.67 0.23 1,292,809.00 0.71
Lubbock,TX 0.45 1,549,243.00 1,381.12 0.55 0.22 316,588.00 0.83
Lynchburg,VA 0.31 496,432.00 1,201.66 0.58 0.18 261,954.00 0.84
Macon-Bibbcounty,GA 0.46 616,989.00 1,232.02 0.58 0.26 229,081.00 0.81
Madera,CA 0.30 249,720.00 1,396.67 0.47 0.14 155,904.00 0.96
Madison,WI 0.37 1,737,217.00 1,628.86 0.60 0.17 654,577.00 0.89
Manchester-Nashua,NH 0.46 929,901.00 2,027.43 0.69 0.18 413,157.00 0.88
Manhattan,KS 0.31 268,899.00 1,285.52 0.38 0.19 97,954.00 0.99
Mankato-NorthMankato,MN 0.26 274,393.00 1,407.12 0.35 0.13 100,945.00 0.97
Mansfield,OH 0.30 203,318.00 872.54 0.50 0.12 120,543.00 0.88
McAllen-Edinburg-Mission,TX 0.36 2,672,266.00 1,165.08 0.45 0.22 858,323.00 0.87
Medford,OR 0.32 250,898.00 1,584.27 0.48 0.14 216,761.00 0.93
Memphis,TN-MS-AR 0.56 5,217,305.00 1,409.82 0.74 0.27 1,347,576.00 0.58
Merced,CA 0.24 471,172.00 1,489.37 0.57 0.13 271,340.00 0.92
Miami-FortLauderdale-WestPalmBeach,FL 0.44 147,998,127.00 2,642.33 0.67 0.28 6,149,687.00 0.70
MichiganCity-LaPorte,IN 0.31 262,677.00 1,150.07 0.58 0.16 109,911.00 0.93
Midland,MI 0.35 156,234.00 1,161.45 0.63 0.18 83,245.00 0.96
Midland,TX 0.33 821,156.00 2,759.87 0.61 0.19 170,948.00 0.91
Milwaukee-Waukesha-WestAllis,WI 0.60 5,452,737.00 1,428.80 0.77 0.24 1,575,151.00 0.63
Minneapolis-St.Paul-Bloomington,MN-WI 0.41 17,181,042.00 1,970.38 0.56 0.18 3,592,669.00 0.78
Missoula,MT 0.20 144,440.00 1,486.18 0.49 0.17 117,863.00 0.96
Mobile,AL 0.28 1,700,477.00 1,102.96 0.52 0.16 414,515.00 0.85
Modesto,CA 0.20 1,396,841.00 1,673.04 0.53 0.12 545,267.00 0.91
Monroe,LA 0.39 420,225.00 1,057.93 0.56 0.25 178,211.00 0.81
Monroe,MI 0.20 298,001.00 1,123.01 0.45 0.08 149,592.00 0.99
Montgomery,AL 0.47 933,055.00 1,116.61 0.73 0.18 374,042.00 0.71
Morgantown,WV 0.28 144,020.00 1,375.31 0.53 0.22 139,739.00 0.99
Morristown,TN 0.35 127,639.00 1,123.38 0.35 0.16 117,843.00 0.95
MountVernon-Anacortes,WA 0.29 164,737.00 1,848.65 0.46 0.13 126,026.00 0.99
Muncie,IN 0.34 325,604.00 951.96 0.58 0.19 115,389.00 0.91
Muskegon,MI 0.32 338,931.00 1,059.59 0.50 0.15 173,656.00 0.86
MyrtleBeach-Conway-NorthMyrtleBeach,SC-NC 0.24 1,937,451.00 1,614.84 0.27 0.22 463,386.00 0.87
Napa,CA 0.19 813,681.00 3,152.52 0.45 0.18 140,386.00 0.95
Naples-Immokalee-MarcoIsland,FL 0.45 3,239,165.00 3,865.02 0.70 0.36 372,345.00 0.77
Nashville-Davidson–Murfreesboro–Franklin,TN 0.50 10,766,763.00 1,845.97 0.74 0.22 1,900,584.00 0.62
NewBern,NC 0.32 309,000.00 1,270.00 0.47 0.19 125,010.00 0.89
NewHaven-Milford,CT 0.37 2,382,587.00 1,669.24 0.53 0.19 857,794.00 0.76
NewOrleans-Metairie,LA 0.40 6,489,654.00 1,556.45 0.68 0.16 1,270,465.00 0.81
NewYork-Newark-JerseyCity,NY-NJ-PA 0.40 168,755,438.00 2,597.55 0.69 0.21 19,998,951.00 0.57
Niles-BentonHarbor,MI 0.51 301,883.00 1,248.76 0.78 0.19 154,362.00 0.80
northPort-Sarasota-Bradenton,FL 0.40 6,601,216.00 2,284.53 0.61 0.27 805,139.00 0.73
Norwich-newLondon,CT 0.27 286,633.00 1,478.91 0.60 0.15 267,826.00 0.87
Ocala,FL 0.30 1,669,292.00 1,370.81 0.39 0.21 353,717.00 0.90
Odessa,TX 0.28 687,081.00 2,187.43 0.54 0.13 157,173.00 0.88
Ogden-Clearfield,UT 0.38 1,513,318.00 1,609.07 0.63 0.15 664,589.00 0.84
Oklahomacity,OK 0.46 11,029,080.00 1,417.61 0.63 0.27 1,383,249.00 0.74
Olympia-Tumwater,WA 0.19 644,378.00 1,873.77 0.37 0.14 280,289.00 0.98
Omaha-CouncilBluffs,NE-IA 0.49 3,944,289.00 1,583.10 0.64 0.22 932,217.00 0.69
Orlando-Kissimmee-Sanford,FL 0.42 25,094,242.00 1,870.76 0.57 0.21 2,512,917.00 0.72
Oshkosh-Neenah,WI 0.36 624,252.00 1,196.65 0.58 0.20 170,375.00 0.90
Owensboro,KY 0.36 203,069.00 1,064.78 0.48 0.21 118,543.00 0.95
Oxnard-ThousandOaks-Ventura,CA 0.34 3,449,664.00 3,029.11 0.67 0.17 850,802.00 0.81
PalmBay-Melbourne-Titusville,FL 0.43 4,331,998.00 1,826.84 0.52 0.20 588,265.00 0.77
Panamacity,FL 0.28 1,089,950.00 2,071.06 0.40 0.20 200,168.00 0.93
Parkersburg-Vienna,WV 0.25 140,256.00 1,096.22 0.37 0.18 90,873.00 0.95
Pensacola-FerryPass-Brent,FL 0.42 3,672,000.00 1,405.47 0.55 0.21 487,327.00 0.78
Peoria,IL 0.46 914,882.00 1,178.67 0.63 0.22 371,810.00 0.80
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD 0.53 24,822,104.00 1,802.57 0.74 0.20 6,078,451.00 0.61
Phoenix-Mesa-Scottsdale,AZ 0.48 17,152,709.00 1,746.59 0.75 0.19 4,761,694.00 0.61
PineBluff,AR 0.15 171,555.00 759.22 0.52 0.10 90,923.00 0.95
Pittsburgh,PA 0.47 7,756,479.00 1,348.23 0.70 0.24 2,330,283.00 0.72
Pittsfield,MA 0.37 128,317.00 1,477.61 0.52 0.15 126,485.00 0.86
Pocatello,ID 0.28 116,547.00 1,158.04 0.60 0.18 85,641.00 0.97
Portst.Lucie,FL 0.44 4,896,670.00 2,082.29 0.62 0.23 473,192.00 0.72
Portland-southPortland,ME 0.30 493,445.00 1,896.31 0.52 0.16 532,280.00 0.80
Portland-Vancouver-Hillsboro,OR-WA 0.34 6,614,427.00 2,016.66 0.58 0.16 2,456,462.00 0.86
Prescott,AZ 0.38 384,045.00 1,627.89 0.60 0.17 228,055.00 0.88
Providence-Warwick,RI-MA 0.40 5,763,343.00 1,744.07 0.63 0.16 1,617,057.00 0.79
Provo-Orem,UT 0.32 1,219,235.00 1,546.11 0.66 0.13 617,751.00 0.84
Pueblo,CO 0.36 443,458.00 1,270.67 0.65 0.18 166,426.00 0.85
PuntaGorda,FL 0.34 1,184,701.00 1,829.41 0.60 0.21 181,537.00 0.84
Racine,WI 0.42 548,195.00 1,383.27 0.63 0.16 195,949.00 0.79
Raleigh,NC 0.46 8,986,021.00 1,697.93 0.62 0.16 1,334,342.00 0.79
Rapidcity,SD 0.32 250,301.00 1,441.12 0.41 0.20 146,869.00 0.88
Reading,PA 0.49 1,036,022.00 1,344.18 0.68 0.18 417,524.00 0.71
Redding,CA 0.23 258,289.00 1,573.52 0.43 0.19 179,539.00 0.99
Reno,NV 0.47 1,550,552.00 1,953.99 0.63 0.18 461,336.00 0.70
Richmond,VA 0.49 4,524,531.00 1,626.59 0.71 0.20 1,292,911.00 0.68
Riverside-sanBernardino-Ontario,CA 0.43 19,908,134.00 2,103.34 0.70 0.17 4,570,427.00 0.68
Roanoke,VA 0.38 811,899.00 1,291.22 0.58 0.20 313,488.00 0.80
Rochester,MN 0.33 648,812.00 1,540.01 0.58 0.16 217,828.00 0.94
Rochester,NY 0.45 2,870,914.00 1,536.09 0.66 0.19 1,071,589.00 0.77
Rockford,IL 0.40 946,786.00 1,225.98 0.67 0.18 338,252.00 0.72
